Title,Description,Score
"Staff Accountant, Sr Staff Accountants,Financial Analysts needed","We are looking for a strong Staff Accountant and Sr Staff Accountant with the following responsibilities:\r\r\r    Must have basic understanding of payroll\r    Must have experience with bank reconciliations\r    Must have experience with Journal Entries\r    Must be able to work in a team environment\r    Must have a solid work history\r    Must have a college degree in Accounting or Finance or Business\r\r\r\r\rWe are seeking a strong Financial Analyst with the following:\r\r    Responsible for Financial analysis and reporting of Risk Pools, healthcare environment\r    Must have experience with Crystal Reports, Excel, Access, MS Query and Create and Ad-HOC\r    Gather and creat reports for upper management\r    Present financial data on quarterly and monthly basis\r\r\r\r\r\r\r\r\r\r",0.7970231
Controller/ Chief Financial Officer,"\r\rVYTEX CORPORATION\r \rPOSITION: Controller (Chief Financial Officer)\r\rREPORTS TO: President\r \rSUMMARY - PURPOSE OF POSITION:\r \rThe Controller’s position is responsible for the timely and accurate processing of all financial aspects of the company’s business. It supports the operational segments of the business with whatever information and reporting that is required for them to be successful. The Controller also provides input in the company’s planning and decision making processes.\r \rESSENTIAL DUTIES AND RESPONSIBILITIES:\r\r\rManage Accounts Payable and Payroll Functions\r \rMaintain Cash Management Reporting \r \rReview and control Inventory Processes \r \rManage and perform Credit and Collection areas\r \rPerform and control Commercial Projects - Billing and Reporting\r \rResponsible for State Registration & Reporting including Sales and Use Taxes\r \rSupport Insurance Programs for Health, Property & Liability Coverage\r \rProvide Monthly, Quarterly and Annual Financial Reporting requirements\r \r",0.79550195
"BOOKKEEPER Heavy into accounts A/R, A/P for a small sign co","BOOKKEEPER  Heavy into accounts A/R, A/P for a small sign co. in New Hyde Park. Sal based on exp.   Email:  hccpas@aol.com  WEB ID ND16879696\r\n Source - Newsday",0.7953075
Accountant / Bookkeeper,"\rWe are a growing construction company seeking an accountant. This position will be full time, 40 hours a week, 8:00 to 5:00.\r\rThe successful candidate will be someone who is personable, used to juggling responsibilities in a small company environment, be internet savvy, proficient with Microsoft Office Suite, and have accounting and bookkeeping experience using accounting software.\r \rHaving construction knowledge and an understanding of American Contractor is a plus. \rJob duties include:\rPayroll\r•          Compiles payroll data such as hours worked, 401k, taxes and insurance. \r•          Enters data into computer files, computes wages and deductions, and posts to payroll   records. \r•          Records changes affecting net wages such as exemptions, insurance coverage, and loan payments for each employee to update master payroll records. \r•          Prepares and issues payroll checks.\r•          Processes employee requests for company-offered benefits by determining deduction amount.\r•          Receive, review and setup all requests from governmental agencies concerning Child Support and other related issues. \r\rAccounts Receivable\r•          Creates clients in the company accounting system. \r•          Maintains records of all billings for auditing purposes. \r•          Generate Invoices reflecting percent of completion and final billings as per billing schedules.\r•          Input billings into the company accounting program in a timely fashion. \r•          File invoices in an orderly and acceptable manner, in a prescribed location. \r•          Contacts clients concerning billing requirements and collections.\r•          Review all Contracts for specific billing requirements.\r  \rAccounts Payable\r•          Receive, review, verify and input invoices from subcontractors and vendors. Decide if invoices are incorrect and require corrections as seen fit, from the subcontractor or vendor.\r•          Creates subcontractor Lien Waivers for payables. \r•          Review and research all credit card statements, as well as code them by the GL account numbers.\r•          File paid invoices in an orderly and acceptable manner, in a prescribed location. \r•          Ensure all subcontractor and vendor invoices, tie to contracts.\r•          Code invoices by GL account number and enter into accounting system.\r•          Create payments for all credit card, subcontractor, vendor, and miscellaneous accounts, in a timely fashion.\r  \rFinancials, Reports and Taxes:\r•          Prepare and mail out annual Employee Payroll W2’s and all government required year-end tax reports\r•          Prepares and files all monthly, quarterly and annual taxes. Prepare State and Federal quarterly deposit checks for the S-corp. \r•          Prepare and mail out annual subcontractor 1099’s and all government required year-end tax reports.\r•          Prepare and file Denver and Aurora Sales and Use Tax Reports quarterly. \r•          Establish and maintain W-9 tax identification records for vendors and subcontractors. \r•          Generate monthly financials and present them to the Board.\r•          Provide year-end financials for bonding review audit.\r  \rGeneral:\r•          Make overall decisions to maintain the Accounting Department, by requiring and analyzing required data from all other departments and use this departments power to enforce any requirement that is not being met.\r•          Receive and reconcile all bank account statements monthly. \r•          Collect and review all general liability insurance and worker’s compensation information from subcontractors and make requirements as needed, to have the subcontractors comply.\r•          Creates all Lien Waivers, Liens and Lien Releases. \r•          Check bank accounts balances daily and take appropriate actions to assure each account balance remains in the positive. \r•          Receive all communications from the bank, review, and adjust bank accounts to reflect any necessary changes to FCBI’s accounts.\r•          Prepare and deposit checks in the bank once received. \r•          Set-up new credit cards for staff as required. \r•          Process new credit applications.\r•          Deposit via EFT and/or bank deposit all Federal, State and Local taxes (Personal Property, Payroll, Income, etc.) in a timely fashion so as to exclude penalties and interest.\r•          Research and respond to various legal matters.\r  \r\rBenefits: This position offers competitive pay as well as an attractive benefits package that includes health insurance, 401k, paid holidays, sick time, and vacation. Relocation assistance is not provided. \rIf interested, please respond with ""Accountant"" as the subject line and include: a COVER LETTER, RESUME, your SALARY requirements and when available.\r",0.79354435
Senior Auditor II,"Senior Auditor II\rServes as the lead contact for individual audits. Assists the Audit Manager in performing the risk assessment process to define the audit scope and develop and modify audit programs, executing detailed testing procedures and drafting audit reports. Responsible for evaluating the adequacy, effectiveness and efficiency of business processes and internal controls relative to applicable banking regulations and internal policies and procedures.   Supervises Staff Auditor in the conduct of daily audit work.\r",0.78982943
Accounting Assistant II - Pay Plan Specialist,"ABOUT THE DEPARTMENT:\r\rFinance's primary responsibilities include financial reporting, corporate taxes, accounts payable, billing and collections, budget development and monitoring, underwriting, cash management, risk management, SEC reporting, mergers and acquisitions activity, payroll, disaster recovery planning, internal audit and investor relations.\r\rRESPONSIBILITIES:\r\r\rThe incumbent must maintain accurate information on all Payor, Pay Plan and pricing information in the Atlas Database.  Incumbent must collaborate with all necessary business sectors to resolve Payor, Pay Plan and pricing issue(s) and to inform business of any impacted changes including quarterly pricing updates and all special projects assigned.    \rCreating and maintenance of all contracted and non-contracted plans based on contract or Letter of Agreement (LOA).\rResearches and responds to all correspondence through electronic email queue\rLoading Pay Plan/Expected Pricing based on contract rates as well as keeping plans maintained with the most current and accurate information.\rResearches and problem solves PBM adjudication errors relating to pay plan functions.\rHCPCS and Quarterly fee schedule updates\rSpecial projects as assigned",0.7881173
Mortgage QC - Auditor,"Full-time Residential Mortgage Quality Control Auditor with opportunity to work from home as well as assist in client field reviews and serve as a team member on firm’s consulting engagements. Position requires work with the firm’s proprietary software system including the recording of review findings and the preparation of reports for each examined file.  \r \rOur Firm offers a competitive salary while working from home. If you enjoy working for a stable, team oriented and growing company, you’ll find a great home at our Firm. ",0.78489375
Junior Analyst with Strong System skills preference Dynamic AX,"Fun and exciting entertainment company seeks a Junior Financial Analyst  This organization provides incredible growth and only fast trackers should apply.  Work life balance is important to the department and is strongly encouraged. Please find below a brief description of the major responsibilities:\r\n \r\n\r\n•                     Strong experience in developing Excel spreadsheet with large pools of data\r\n\r\n•                     Applying cash receipts to the applicable outstanding accounts receivables\r\n\r\n•                     Uploading sales reporting into the database\r\n\r\n•                     Perform variance analysis on sales data\r\n\r\n•                     Review system data to ensure it is accurate and complete\r\n\r\n•                     Financial Portal maintenance\r\n\r\n•                     Upload revenue information into the general ledger\r\nCandidate must have a Bachelor's degree, strong experience with Excel (Cube base Excel reporting tools a plus), Dynamics AX experience is strongly desired but not required and excellent communication and interpersonal skills  The Company offers Fortune 500 benefits and a very generous vacation policy.  This position needs to be filled immediately. For immediate consideration, please email your resume in a word document\r\nto ken.casaccio@ajilonfinance.com",0.7786068
Accountant / Bookkeeper and Customer Service Representative,"Haskins Heating & Cooling Now Hiring for:\r\n      Accountant/ Bookeeper \r\n      Customer Service Representative\r\n      Full company benefits \r\n      Hours 8:00 am to 5:00 pm Monday through Friday \r\n      Office located in Joelton.\r\n      Call 615-746-6390\r\n      Fax 615-746-9492\r\n      cliff@haskinsheating.com\r\n     Source - Tennessean - Nashville, TN",0.77224374
ER11 - Manufacturing/Production Engineer,"Manufacturing Production Engineer Position Purpose/Role  This statement should clearly indicate the primary reason the position exists: The primary purpose of this position is to manage, lead and support the plant in the following areas: Quality systems, hourly training systems and critical productivity reports. The incumbent is responsible for development, maintenance, analyzing and assisting in the implementation of the above systems.  Major Deliverables \r\n• The incumbent is accountable for developing and maintaining the quality systems to achieve all ISO requirements.\r\n• Assists in auditing department and plant wide quality systems.\r\n• Works with plant quality system resources to identify future quality requirements.\r\n• Provides assistance in implementation and training of quality systems in area of assignment.\r\n• The incumbent helps to implement Lean concepts into department.\r\n• Maintains all critical department reports based on the plant/department business plan.\r\n• Analyze reports and make recommendations for improvement in areas impacting the successful implementation of the business plan.\r\n• The incumbent works on special projects across the plant.\r\n•  Assists in the maintenance of department training records and makes recommendations for training requirements.\r\n• Assist in maintaining existing certifications for customers or industry by ensuring the requirements are being met across the plant. This includes a consulting role with departments, keeping current with requirements and revisions and follow-ups as required. Financial Impact and Organizational Accountabilities \r\n• List financial impact for assets, Revenues, Purchases, and Capital or Operating budgets if applicable. The financial impact includes cost effective implementation of the plant and department business plan. \r\n• The continuous development of the Quality System is essential in participating in business with customers. \r\n• Accountable to the production and maintenance manufacturing groups to ensure their quality system is adequate for customer and JWA standards to provide a quality product. \r\n• Accountable to the Commercial organization Account and Market managers to coordinate audits, enable St. Louis to gain or keep business by passing customer quality audits. \r\n• Accountable to the QA organization for coordinating audit schedules, training and helping the organization understand quality systems needs and provide solutions. \r\n• The major customers are all department personnel and representatives from other departments that the incumbent is required to interface with. \r\n• The incumbent reports to the Quality and Engineering Manager and provides leadership to the Department. Critical Competencies \r\n• BUILDING OWNERSHIP AND COMMITMENT/COLLABORATION - Persuade and/or Influence many levels of the organization to follow policy and procedures, build for future quality system needs and requirements. \r\n• INTERPERSONAL ASTUTENESS - Works with people to understand their perspectives, yet communicate verbally and in writing regarding quality systems needs and impact. Will also need to constructively respond to conflict, balancing unpopular opinions when necessary. \r\n• JUDGEMENT/CRITICAL THINKING/FORWARD THINKING - Knows the quality systems requirements and determine what is needed to satisfy them as well as thinking through potential solutions and future issues. This includes assessing cost/risk/benefit analysis and decisions for specification benefit to business. \r\n• INITIATIVE/TENACITY - The environment is usually one which requires initiative on the incumbent s part to facilitate audits or systems function activities as well as staying on task through completion and verification. \r\n• SELF CONFIDENCE - This position represents JWA with suppliers and customers. Perceived competence and confidence is critical to the success of audits. Front line interfacing with plant personnel to explain, interpret, and help implement quality.\r\n• ATTENTION TO DETAIL: Identification and understanding of certification requirements leading to developing quality systems to meet criteria. Additional baseline success factors are: \r\n• Computer skills???access or other database tools (W) \r\n• Excel/Word???Proficiency Location:St. Louis, MO (no relocation assistance) Kelly Engineering Resources (KER) is a specialty service of Kelly Services Inc., a leader in providing workforce solutions. Since employing its first engineer in 1965, KER has grown to be recognized as a leading provider of engineering resources to customers in such industries as automotive, chemical, defense, electronics, energy, medical device, and pharmaceutical. Kelly Engineering Resources is an Equal Opportunity Employer.",0.7720995
Senior Revenue Accountant and Analyst Contractor,"\rOur client in the suburbs of Philadelphia is currently seeking a Senior Revenue Accountant and Analyst to join their growing team. This is a temporary assignment for 3+ months.\r\rResponsibilities:\r\r    Summarize client contractual financial obligations to determine fees that the client collects for performing services\r    This position will work with our clients to evaluate both internal and external financial reporting needs,\r    liaise with various internal departments to insure the development of required reporting\r    calculate the Company's earned fees,\r    apply relevant revenue recognition principles when recording such fees to the general ledger and analyze actual results as compared to forecast\r    Analytically review monthly revenue results and related balance sheet account reconciliations\r    Develop, implement and review financial settlement templates based on the interpretation of complex client contracts and application of relevant GAAP and SEC revenue recognition principles\r    Prepare monthly internal financial reporting schedules analyzing revenue results as compared to prior periods and forecast\r    Track and communicate client contracts, contract amendments and statement of work agreements\r    Periodically update SAS70 and SOX process narratives and controls\r    Assist with ad hoc management and client requests as needed and work closely with internal and external auditors\r\r \r",0.7711994
Auditor III Position with Oil & Gas,"SNI Financial has partnered up with an Oil & Gas client in the Galleria area to find its next Sr. Internal Auditor. The role will be responsible for the following: planning the audit engagement, operational and financial statement audits, internal controls over the business processes and working closely with external auditors. The ideal profile will be someone having 4+ years of public accounting experience or Internal audit experience with Oil & Gas, BBA in Accounting or Finance and a CPA or CIA is a plus.  This role will require some international travel. Excellent Benefits & Compensation package. For immediate consideration please submit resume egarza@snifinancial.com",0.7689928
Staff Auditor II,"STAFF AUDITOR II\r\n \r\nGlobal entity with US operations based in Bethesda is seeking a STAFF AUDITOR II to join their audit team.  This company is a leader in the food, beverage, and retail industry.  The ideal candidate will possess a mixture of operational and financial auditing experience, able to review and suggest improvements to operational processes and internal controls, and be open to work-related travel around 20%-30% of the time.   \r\n \r\nRESPONSIBILITIES: \r\n\r\n•         Determine overall compliance with established polices/procedures and communicate findings to management \r\n\r\n•         Review adequacy of internal controls at the corporate level  \r\n\r\n•         Review effectiveness/efficiency of operational and financial processes at the corporate level. \r\n\r\n•         Perform control test work vis-a-vis Law 262 requirements \r\n\r\n•         Participate in other assignments (due diligence procedures, fraud, special investigations, etc?) as needed \r\n \r\nREQUIREMENTS: \r\n\r\n•         1-3 years of experience \r\n\r\n•         Excellent communication skills to ably interact w/ executive-level personnel.  \r\n \r\nHELPFUL: \r\n\r\n•         Public Accounting expolsure. \r\n\r\n•         CPA or CIA (or either in progress). \r\n \r\nPlease share with us your thoughts with us and we?ll then share our thoughts with you. \r\n \r\n ",0.7647521
HR Admin Assistant- BA Degree- Experience Required!,"International bank seeks temp-to-perm HR Admin to support the SVP of Learning and Development, this is an immediate hire and a great opportunity for someone looking to get their foot in the door in not only Human Resources, but an extremely reputable finance firm. \r\rJob includes;\r*Administers and helps coordinate and schedule training events. Works on data entry into Learning Managment System.\r*Prepares, distributes and summarizes training surveys and evaluation forms.\r*Prepares Excel spreadsheets, PowerPoint presentations and communicates via email. This position requires excellent skills both technical and professional as there will be direct conduct with the business.\r*Plans training calendar with manager to support bank needs\r*Collates and reports out on evaluation and feedback forms\r*Prepares excel spreadsheets on costs and attendance\r*Uses Oracle (HR system) to generate reports as required\r*Works on the company LMS for input of courses\r*Coordinates and schedules rooms and dial in numbers\r*Prepares and distributes training materials\r*Arranges for physical room set up and instructor requirements such as flipcharts, laptops, LCS projector\r*Contacts attendees and instructor as necessary for coordination\r*Works with other areas of HR on various initiatives",0.7598285
Accountant I-AR,"***Seeking Immediate Accounts Receivable Analyst in Houston, TX***Addison Search is currently working with an Oil and Gas client in Houston, TX on a contract to hire Accounts Receivable opening. There is growth potential with this stable organization!Primary Duties Include:§ Handle commercial collections and communicate with vendors daily§ Prepare credit refunds§ Analyze accounts and research discrepancies§ Assist with joint interest billing and manage aging reports Internal interviews will begin on May 29, 2012 with client interviews to follow. Please send qualified resumes, questions or referrals to krista.surratt@addisonsearch.comAddison Search specializes in connecting opportunities and candidates in Administrative, Finance/Accounting, Healthcare, and Information Technology areas. Founded in 1999, Addison Search has reshaped the staffing industry in its focus areas and has been named as one of the fastest-growing companies by Crain???s every year for the past three years.Addison Search is an Equal Opportunity Employer, m/f/d/v If you or anyone you know want to work for an ethical company that provides an environment where you can make a difference, advance your career, be part of a team that provides superior service and supports work-life balance, Addison Search is the right company for you.  ",0.75370413
Staff Accountant Needed! Min 2 yrs exp!,"Outgoing Staff Accountant Needed Immediately for position located in the Galleria area.  This position will be responsible for adding, transferring and retiring assets for multiple operating companies and corporate entities.   Highly visible position with the opportunity for growth potential, depending on performance!  40 hour work week, with some overtime during onth end and year end close.\r \r",0.7509113
Director / VP or Chart Audit Services,"Director / VP of Chart Audit Services\r\r\rThe Director/VP of the Hospital Bill Audit / Chart Audit services  plans, organizes, manages and evaluates the day-to-day activities of a Medical Chart Review team of Coders, Auditors, Nurses, Coordinators and Independent Contractors; and, ensures audits are performed to determine organizational integrity of billing facility and technical hospital fees, including detection and correction of documentation, coding and billing errors. \r\rKey areas of responsibility include: \r\r    Plans and directs audits to evaluate the adequacy and accuracy of documentation in support of services billed, including ICD-9/CPT/HCPCS and other third-party payor codes, DRG assignment, APC code assignment, medical necessity of services, reimbursement overpayments  and compliance with other documentation, coding and billing standards.\r    Leads evaluation of the adequacy and effectiveness of internal and external audit team to ensure that processes and practices lead to appropriate execution of regulatory requirements and guidelines related to facility and technical fee documentation, coding and billing, including federal and state regulations and guidelines, CMS and other third party payor billing rules, and OIG compliance standards.\r    Recruits staff, contracts and coordinates to expand services area nation wide\r    Works closely with IT support staff to develop and implement technological improvements to support the audit process\r    Oversees communication of all audit reviews and findings with presentation to internal/external stakeholders regarding claim audit validation.\r    Ensures effective and ongoing on-the-job training of team members, evaluates and records individual and team performance, provides coaching and counseling, and makes appropriate developmental and salary adjustment recommendations.\r     Demonstrates expertise in leading-edge theories, techniques and/or technologies.\r     Leads the development of new concepts, technologies and products to meet emerging customer requirements.\r     Identifies and solves problems that impact the management and direction of the business.\r     Influences senior management decisions that impact and drive business direction. \r\r ",0.7467846
Govt Finance Analyst Stf,"Security Clearance: None\r\n\r\nExperience in Defense Contracting Industry. Familiarity with FAR and CAS. Excellent analytical skills. Communication Skills. Proficient in Excel, Word and Powerpoint. Affinity for searching databases and system reports for answers. Statistics understanding. Accounting understanding. Presentation skills.\r\n \r\n \r\n Specific responsibilities of this position include, but are not limited to, heavy analysis via system reports and excel spreadsheets, detailed preparation and follow-up support of the incurred cost submissions, rate close-out negotiations, and final rate calculations for IS&GS Dev/ES, LMMS, and M&DS. Supports DCAA, DCMA and other government audits, inquiries and negotiations. Support Statistical Sampling process. Ensures compliance with Disclosure Statement. Supports Compliance team members on activities related to business transformation studies and implementations. Applicants selected may be subject to a government security investigation and meet eligibility requirements for access to classified information in the future.",0.74673074
